subject,description,team
OAuth login failure,Users cannot log in after the JWT refresh token expires,BL-101 (Authentication & AuthZ)
Password reset broken,Password reset link is rejected as an invalid authentication token,BL-101 (Authentication & AuthZ)
Session issue,User session ends immediately after successful login,BL-101 (Authentication & AuthZ)
Permission regression,Admin permission check denies access to an authorized user,BL-101 (Authentication & AuthZ)
SSO callback error,OAuth callback returns an authentication state mismatch,BL-101 (Authentication & AuthZ)
Logout problem,Logout does not invalidate the active session cookie,BL-101 (Authentication & AuthZ)
PostgreSQL pool exhausted,Database connection pool is exhausted during peak traffic,BL-102 (Database & ORM)
Slow SQL query,ORM query performs a full table scan and times out,BL-102 (Database & ORM)
Migration failure,Database migration fails while adding a required column,BL-102 (Database & ORM)
Deadlock,Concurrent transactions produce a PostgreSQL deadlock,BL-102 (Database & ORM)
MySQL connection,Application cannot reconnect to MySQL after restart,BL-102 (Database & ORM)
Duplicate records,ORM save operation creates duplicate database rows,BL-102 (Database & ORM)
Dropdown overflow,React dropdown menu overflows the mobile screen,BL-103 (UI Components & Design System)
Dark theme issue,CSS variables display the wrong button color in dark mode,BL-103 (UI Components & Design System)
Responsive layout,Dashboard layout breaks on a narrow viewport,BL-103 (UI Components & Design System)
Modal focus,UI modal does not trap keyboard focus,BL-103 (UI Components & Design System)
Component crash,React table component crashes when the list is empty,BL-103 (UI Components & Design System)
Button alignment,Primary button is misaligned in the settings form,BL-103 (UI Components & Design System)
Stripe webhook failure,Payment webhook signature validation fails,BL-104 (Payment Gateway & Billing)
Duplicate charge,Checkout creates two credit card charges,BL-104 (Payment Gateway & Billing)
Invoice error,Billing invoice shows the wrong tax amount,BL-104 (Payment Gateway & Billing)
Refund stuck,Stripe refund remains pending after approval,BL-104 (Payment Gateway & Billing)
Subscription renewal,Recurring payment is not collected during renewal,BL-104 (Payment Gateway & Billing)
Checkout failure,Payment gateway rejects a valid card at checkout,BL-104 (Payment Gateway & Billing)
Pod OOMKilled,Kubernetes pod restarts because the memory limit is too low,BL-105 (Cloud Infrastructure & K8s)
Docker startup,Container exits immediately during deployment,BL-105 (Cloud Infrastructure & K8s)
CPU throttling,Cloud worker is heavily throttled by its CPU limit,BL-105 (Cloud Infrastructure & K8s)
Deployment rollout,Kubernetes deployment never becomes ready,BL-105 (Cloud Infrastructure & K8s)
Image pull,Pod cannot pull the private Docker image,BL-105 (Cloud Infrastructure & K8s)
Service discovery,Container cannot resolve another service in the cluster,BL-105 (Cloud Infrastructure & K8s)
API timeout,REST endpoint times out when calling a downstream microservice,BL-106 (API Gateway & Microservices)
Gateway 502,API gateway returns HTTP 502 for a healthy service,BL-106 (API Gateway & Microservices)
FastAPI validation,FastAPI route accepts an invalid request body,BL-106 (API Gateway & Microservices)
Missing endpoint,Client receives HTTP 404 from an existing endpoint,BL-106 (API Gateway & Microservices)
Service contract,Microservice response no longer matches the API contract,BL-106 (API Gateway & Microservices)
Retry storm,Gateway retries create excessive traffic after HTTP 500,BL-106 (API Gateway & Microservices)
Search ranking,Search results rank an irrelevant document first,BL-107 (Search & Indexing Engine)
Elasticsearch index,New records are missing from the Elasticsearch index,BL-107 (Search & Indexing Engine)
Autocomplete failure,Autocomplete returns no suggestions for a known product,BL-107 (Search & Indexing Engine)
Filter bug,Search filter ignores the selected category,BL-107 (Search & Indexing Engine)
Full text search,Full text query does not match plural words,BL-107 (Search & Indexing Engine)
Reindex problem,Background reindex operation stops halfway,BL-107 (Search & Indexing Engine)
Email not sent,SMTP notification is not delivered to the user,BL-108 (Notification & Webhooks)
Webhook retry,Webhook dispatcher never retries a failed request,BL-108 (Notification & Webhooks)
Duplicate notification,User receives the same push notification twice,BL-108 (Notification & Webhooks)
SMS failure,SMS provider rejects the notification payload,BL-108 (Notification & Webhooks)
Email template,Password reset email template renders a broken link,BL-108 (Notification & Webhooks)
Webhook timeout,Outgoing webhook request times out without logging,BL-108 (Notification & Webhooks)
Prometheus metric,Prometheus counter does not increase after a prediction,BL-109 (Analytics & Telemetry)
Grafana dashboard,Grafana chart displays the wrong latency unit,BL-109 (Analytics & Telemetry)
Analytics total,Daily analytics report double counts events,BL-109 (Analytics & Telemetry)
Telemetry gap,Service stops exporting telemetry after reconnecting,BL-109 (Analytics & Telemetry)
Tracking event,User tracking event is missing a required property,BL-109 (Analytics & Telemetry)
Latency chart,Dashboard latency percentile is calculated incorrectly,BL-109 (Analytics & Telemetry)
XSS vulnerability,Comment field allows a stored cross site scripting payload,BL-110 (Security & Compliance)
SQL injection,Search parameter may allow SQL injection,BL-110 (Security & Compliance)
CSRF protection,State-changing request is missing CSRF validation,BL-110 (Security & Compliance)
Encryption issue,Sensitive value is stored without encryption,BL-110 (Security & Compliance)
Compliance log,Audit log omits a required compliance event,BL-110 (Security & Compliance)
Privilege escalation,User can exploit an authorization check to gain access,BL-110 (Security & Compliance)
